NO NAME TASK_COUNT RUNTIME FOLD_NO FEATURE TASK MODEL HPO_ITS MODEL_HPO SELECTOR_HPO MULTI_OBJECTIVE
54 runtime_sat#cost-gb#kNN#True#True#150#False 3 182 -1 cost-gb runtime_sat kNN 150 True True False
55 runtime_backbone#cost-gb#kNN#True#True#150#False 3 182 -1 cost-gb runtime_backbone kNN 150 True True False
56 runtime_spur#cost-gb#kNN#True#True#150#False 3 182 -1 cost-gb runtime_spur kNN 150 True True False
57 value_ssat#cost-gb#kNN#True#True#150#False 3 182 -1 cost-gb value_ssat kNN 150 True True False
58 value_backbone#cost-gb#kNN#True#True#150#False 3 182 -1 cost-gb value_backbone kNN 150 True True False
59 algo_selection#cost-gb#kNN#True#True#150#False 3 182 -1 cost-gb algo_selection kNN 150 True True False
60 runtime_sat#cost-gb#adaboost#True#True#150#False 3 182 -1 cost-gb runtime_sat adaboost 150 True True False
61 runtime_backbone#cost-gb#adaboost#True#True#150#False 3 182 -1 cost-gb runtime_backbone adaboost 150 True True False
62 runtime_spur#cost-gb#adaboost#True#True#150#False 3 182 -1 cost-gb runtime_spur adaboost 150 True True False
63 value_ssat#cost-gb#adaboost#True#True#150#False 3 182 -1 cost-gb value_ssat adaboost 150 True True False
64 value_backbone#cost-gb#adaboost#True#True#150#False 3 182 -1 cost-gb value_backbone adaboost 150 True True False
65 algo_selection#cost-gb#adaboost#True#True#150#False 3 182 -1 cost-gb algo_selection adaboost 150 True True False
66 runtime_sat#cost-gb#MLP#True#True#150#False 3 182 -1 cost-gb runtime_sat MLP 150 True True False
67 runtime_backbone#cost-gb#MLP#True#True#150#False 3 182 -1 cost-gb runtime_backbone MLP 150 True True False
68 runtime_spur#cost-gb#MLP#True#True#150#False 3 182 -1 cost-gb runtime_spur MLP 150 True True False
69 value_ssat#cost-gb#MLP#True#True#150#False 3 182 -1 cost-gb value_ssat MLP 150 True True False
70 value_backbone#cost-gb#MLP#True#True#150#False 3 182 -1 cost-gb value_backbone MLP 150 True True False
71 algo_selection#cost-gb#MLP#True#True#150#False 3 182 -1 cost-gb algo_selection MLP 150 True True False
72 runtime_sat#mopso#randomForest#True#True#150#False 3 398 -1 mopso runtime_sat randomForest 150 True True False
73 runtime_backbone#mopso#randomForest#True#True#150#False 3 398 -1 mopso runtime_backbone randomForest 150 True True False
74 runtime_spur#mopso#randomForest#True#True#150#False 3 398 -1 mopso runtime_spur randomForest 150 True True False
75 value_ssat#mopso#randomForest#True#True#150#False 3 398 -1 mopso value_ssat randomForest 150 True True False
76 value_backbone#mopso#randomForest#True#True#150#False 3 398 -1 mopso value_backbone randomForest 150 True True False
77 algo_selection#mopso#randomForest#True#True#150#False 3 398 -1 mopso algo_selection randomForest 150 True True False
78 runtime_sat#mopso#gradboostForest#True#True#150#False 3 398 -1 mopso runtime_sat gradboostForest 150 True True False
79 runtime_backbone#mopso#gradboostForest#True#True#150#False 3 398 -1 mopso runtime_backbone gradboostForest 150 True True False
80 runtime_spur#mopso#gradboostForest#True#True#150#False 3 398 -1 mopso runtime_spur gradboostForest 150 True True False
81 value_ssat#mopso#gradboostForest#True#True#150#False 3 398 -1 mopso value_ssat gradboostForest 150 True True False
82 value_backbone#mopso#gradboostForest#True#True#150#False 3 398 -1 mopso value_backbone gradboostForest 150 True True False
83 algo_selection#mopso#gradboostForest#True#True#150#False 3 398 -1 mopso algo_selection gradboostForest 150 True True False
84 runtime_sat#mopso#SVM#True#True#150#False 3 398 -1 mopso runtime_sat SVM 150 True True False
85 runtime_backbone#mopso#SVM#True#True#150#False 3 398 -1 mopso runtime_backbone SVM 150 True True False
86 runtime_spur#mopso#SVM#True#True#150#False 3 398 -1 mopso runtime_spur SVM 150 True True False
87 value_ssat#mopso#SVM#True#True#150#False 3 398 -1 mopso value_ssat SVM 150 True True False
88 value_backbone#mopso#SVM#True#True#150#False 3 398 -1 mopso value_backbone SVM 150 True True False
89 algo_selection#mopso#SVM#True#True#150#False 3 398 -1 mopso algo_selection SVM 150 True True False
90 runtime_sat#mopso#kNN#True#True#150#False 3 398 -1 mopso runtime_sat kNN 150 True True False
91 runtime_backbone#mopso#kNN#True#True#150#False 3 398 -1 mopso runtime_backbone kNN 150 True True False
92 runtime_spur#mopso#kNN#True#True#150#False 3 398 -1 mopso runtime_spur kNN 150 True True False
93 value_ssat#mopso#kNN#True#True#150#False 3 398 -1 mopso value_ssat kNN 150 True True False
94 value_backbone#mopso#kNN#True#True#150#False 3 398 -1 mopso value_backbone kNN 150 True True False
95 algo_selection#mopso#kNN#True#True#150#False 3 398 -1 mopso algo_selection kNN 150 True True False
96 runtime_sat#mopso#adaboost#True#True#150#False 3 398 -1 mopso runtime_sat adaboost 150 True True False
97 runtime_backbone#mopso#adaboost#True#True#150#False 3 398 -1 mopso runtime_backbone adaboost 150 True True False
98 runtime_spur#mopso#adaboost#True#True#150#False 3 398 -1 mopso runtime_spur adaboost 150 True True False
99 value_ssat#mopso#adaboost#True#True#150#False 3 398 -1 mopso value_ssat adaboost 150 True True False
100 value_backbone#mopso#adaboost#True#True#150#False 3 398 -1 mopso value_backbone adaboost 150 True True False
101 algo_selection#mopso#adaboost#True#True#150#False 3 398 -1 mopso algo_selection adaboost 150 True True False
102 runtime_sat#mopso#MLP#True#True#150#False 3 398 -1 mopso runtime_sat MLP 150 True True False
103 runtime_backbone#mopso#MLP#True#True#150#False 3 398 -1 mopso runtime_backbone MLP 150 True True False
104 runtime_spur#mopso#MLP#True#True#150#False 3 398 -1 mopso runtime_spur MLP 150 True True False
105 value_ssat#mopso#MLP#True#True#150#False 3 398 -1 mopso value_ssat MLP 150 True True False
106 value_backbone#mopso#MLP#True#True#150#False 3 398 -1 mopso value_backbone MLP 150 True True False
107 algo_selection#mopso#MLP#True#True#150#False 3 398 -1 mopso algo_selection MLP 150 True True False
